epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.471,1.48454,1.52221,1.42443,0.55947,0.32967,0.35131,0.11782,0.88612,1.76111,0.71415,0.0668833,9.96491e-05,9.96491e-05
2,259.313,1.30922,1.16123,1.28783,0.69786,0.31868,0.36282,0.14052,0.89696,1.38503,0.7357,0.0336499,0.000199605,0.000199605
3,390.206,1.24185,1.06976,1.26907,0.7338,0.31868,0.38672,0.14823,0.85794,1.29565,0.70295,0.000416342,0.000299383,0.000299383
4,507.103,1.1952,0.95896,1.21582,0.74787,0.31868,0.37317,0.14375,0.90116,1.34937,0.71446,0.000299401,0.000299401,0.000299401
5,621.99,1.1526,0.91856,1.20379,0.55129,0.35165,0.33302,0.12485,0.89844,1.42588,0.70895,0.000298935,0.000298935,0.000298935
6,735.725,1.1435,0.95346,1.19418,0.74299,0.31868,0.36334,0.14981,0.86067,1.28452,0.7084,0.000298338,0.000298338,0.000298338
7,850.893,1.10407,0.8827,1.15813,0.61387,0.31868,0.3269,0.13146,0.86763,1.32493,0.70741,0.000297609,0.000297609,0.000297609
8,965.374,1.0891,0.8571,1.14331,0.59087,0.34918,0.34402,0.13235,0.8611,1.35253,0.71076,0.000296749,0.000296749,0.000296749
9,1080.06,1.1037,0.82301,1.17534,0.60844,0.36264,0.3403,0.1387,0.84643,1.35384,0.69739,0.000295759,0.000295759,0.000295759
10,1195.21,1.09165,0.83579,1.15809,0.61134,0.32967,0.33546,0.13502,0.88021,1.33164,0.72434,0.00029464,0.00029464,0.00029464
11,1312.06,1.0695,0.81156,1.14429,0.64356,0.31868,0.34609,0.15004,0.86194,1.3142,0.71873,0.000293393,0.000293393,0.000293393
12,1427.82,1.06852,0.78212,1.14555,0.56255,0.35165,0.33199,0.13496,0.84358,1.32254,0.70202,0.000292019,0.000292019,0.000292019
13,1542.9,1.07463,0.78249,1.15111,0.71627,0.34066,0.36322,0.14779,0.82742,1.38062,0.70187,0.00029052,0.00029052,0.00029052
14,1654.34,1.05238,0.76805,1.14006,0.58456,0.34066,0.33553,0.14277,0.87242,1.44963,0.73505,0.000288897,0.000288897,0.000288897
15,1764.35,1.04588,0.74278,1.13556,0.74448,0.31868,0.35262,0.14249,0.86488,1.38622,0.72173,0.000287152,0.000287152,0.000287152
16,1877.84,1.01754,0.75063,1.11742,0.53029,0.37221,0.37601,0.15385,0.86278,1.3271,0.72378,0.000285286,0.000285286,0.000285286
17,1994.05,0.98845,0.7381,1.08721,0.60631,0.33851,0.3631,0.16215,0.88157,1.27541,0.74036,0.000283301,0.000283301,0.000283301
18,2109.69,1.02424,0.74225,1.12071,0.48967,0.40072,0.35801,0.14342,0.86932,1.37761,0.73972,0.0002812,0.0002812,0.0002812
19,2224.04,1.00239,0.72071,1.08953,0.65553,0.2967,0.33264,0.13892,0.84167,1.46273,0.71043,0.000278984,0.000278984,0.000278984
20,2337.71,0.99776,0.71342,1.08106,0.70102,0.38462,0.39813,0.16385,0.83877,1.3385,0.71308,0.000276656,0.000276656,0.000276656
21,2451.4,0.99071,0.74544,1.07982,0.59923,0.3615,0.36581,0.14894,0.86334,1.48194,0.73099,0.000274217,0.000274217,0.000274217
22,2560.74,0.98734,0.69327,1.07233,0.6635,0.3684,0.38825,0.16519,0.8693,1.38142,0.73358,0.000271671,0.000271671,0.000271671
23,2670.49,0.98234,0.71109,1.08267,0.5566,0.40659,0.37726,0.16262,0.86045,1.45175,0.74082,0.000269019,0.000269019,0.000269019
24,2780.97,0.9708,0.69437,1.08289,0.58215,0.36264,0.34095,0.15145,0.86884,1.49224,0.74079,0.000266265,0.000266265,0.000266265
25,2893.84,0.94917,0.67587,1.06108,0.5444,0.40659,0.35052,0.16066,0.87826,1.36724,0.74326,0.000263411,0.000263411,0.000263411
26,3011.26,0.95294,0.68029,1.06433,0.61755,0.38462,0.37338,0.15178,0.86959,1.41767,0.74462,0.000260459,0.000260459,0.000260459
27,3124.2,0.95283,0.71357,1.06573,0.64268,0.35581,0.37462,0.15317,0.8536,1.37332,0.7275,0.000257414,0.000257414,0.000257414
28,3233.82,0.96938,0.69235,1.09376,0.61914,0.35165,0.36421,0.15194,0.87006,1.40209,0.74354,0.000254277,0.000254277,0.000254277
29,3343.7,0.92174,0.66024,1.0292,0.64087,0.3726,0.37376,0.1545,0.86128,1.37638,0.74339,0.000251052,0.000251052,0.000251052
30,3453.61,0.95929,0.67427,1.07208,0.63843,0.37363,0.36625,0.15301,0.85385,1.37693,0.7285,0.000247742,0.000247742,0.000247742
31,3564.73,0.93483,0.672,1.04961,0.63128,0.35752,0.35227,0.14879,0.85254,1.45474,0.74226,0.000244351,0.000244351,0.000244351
32,3676.24,0.88639,0.63189,1.0053,0.61702,0.35165,0.38355,0.1614,0.85072,1.33843,0.74201,0.000240881,0.000240881,0.000240881
33,3790.11,0.94073,0.6655,1.07666,0.63112,0.36264,0.3826,0.15712,0.86501,1.54618,0.7557,0.000237337,0.000237337,0.000237337
34,3901.69,0.91563,0.64662,1.05701,0.64655,0.38462,0.38179,0.1629,0.86003,1.39394,0.74289,0.000233721,0.000233721,0.000233721
35,4012.11,0.9273,0.65773,1.0483,0.53348,0.3956,0.35132,0.14877,0.88105,1.467,0.76728,0.000230037,0.000230037,0.000230037
36,4122.19,0.88193,0.62157,1.04226,0.57429,0.37363,0.36148,0.15457,0.86474,1.43252,0.7702,0.000226289,0.000226289,0.000226289
