epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.048,2.7611,7.99035,2.00145,0.00011,0.0989,6e-05,3e-05,1.14236,22755.1,3.36773,0.000663551,0.000663551,0.000663551
2,353.601,2.78562,3.87607,2.03456,5e-05,0.06593,3e-05,1e-05,1.55125,723232,21.4023,0.00132989,0.00132989,0.00132989
3,505.632,2.87484,3.91318,2.10145,0.00092,0.16484,0.0006,0.0002,1.37305,238.436,1.13043,0.00199493,0.00199493,0.00199493
4,628.945,2.86995,3.86045,2.15357,0.00141,0.20879,0.00276,0.00089,1.32948,3.07275,0.89001,0.00199561,0.00199561,0.00199561
5,751.759,2.79281,3.64632,2.05286,0.46408,0.03297,0.0388,0.00833,1.24224,3.43475,0.82752,0.00199219,0.00199219,0.00199219
6,871.059,2.67218,3.4971,1.94891,0.16638,0.01099,0.01613,0.0044,1.22605,4.1951,0.92359,0.00198781,0.00198781,0.00198781
7,993.177,2.59572,3.40678,1.923,0.2457,0.10989,0.09101,0.02618,1.20014,4.39841,0.89437,0.00198246,0.00198246,0.00198246
8,1114.64,2.69384,3.32049,1.97765,0.12934,0.18681,0.07149,0.02054,1.17693,7.91472,0.98235,0.00197616,0.00197616,0.00197616
9,1227.46,2.53894,3.26869,1.90591,0.14185,0.07692,0.04401,0.01488,1.28961,3.63248,0.82848,0.0019689,0.0019689,0.0019689
10,1353.95,2.48539,3.13474,1.85384,0.22697,0.0989,0.07682,0.02264,1.27408,6.43817,0.80323,0.00196069,0.00196069,0.00196069
11,1468.49,2.38185,3.06171,1.80907,0.13305,0.07692,0.05569,0.01554,1.1421,3.76696,0.76534,0.00195155,0.00195155,0.00195155
12,1585.23,2.42383,3.0191,1.80145,0.23015,0.12088,0.11409,0.03978,1.25405,2.72263,0.84662,0.00194147,0.00194147,0.00194147
13,1700.66,2.42178,3.03194,1.80876,0.01708,0.03297,0.00518,0.00157,1.22256,6.24098,0.82306,0.00193048,0.00193048,0.00193048
14,1813.15,2.3261,2.83124,1.76551,0.26845,0.10989,0.09365,0.02852,1.23198,2.02894,0.78533,0.00191858,0.00191858,0.00191858
15,1931.26,2.39618,2.93945,1.7995,0.12248,0.13807,0.05913,0.01764,1.18572,4.33321,0.81849,0.00190578,0.00190578,0.00190578
16,2051.32,2.30084,2.73222,1.75096,0.4114,0.14286,0.15543,0.0411,1.09211,5.31232,0.76031,0.0018921,0.0018921,0.0018921
17,2167.37,2.19669,2.61533,1.66727,0.16192,0.25275,0.12323,0.03477,1.17054,5.36409,0.7787,0.00187754,0.00187754,0.00187754
18,2283.63,2.16612,2.57136,1.66717,0.29313,0.1978,0.17027,0.04818,1.24003,4.03551,0.80597,0.00186213,0.00186213,0.00186213
19,2395.26,2.15397,2.53913,1.66007,0.26623,0.13187,0.1396,0.04284,1.26129,2.25303,0.80907,0.00184588,0.00184588,0.00184588
20,2506.22,2.18375,2.4889,1.65703,0.30814,0.07692,0.09096,0.02681,1.29056,1.90108,0.82408,0.00182881,0.00182881,0.00182881
21,2618.61,2.10907,2.53075,1.61171,0.41691,0.12088,0.13016,0.04205,1.19229,2.09405,0.77114,0.00181093,0.00181093,0.00181093
22,2732.06,2.01878,2.32039,1.55539,0.18422,0.20879,0.12955,0.03832,1.18375,4.30939,0.77917,0.00179225,0.00179225,0.00179225
23,2844.39,2.12786,2.38111,1.63164,0.28038,0.26374,0.18983,0.07064,1.16056,3.00401,0.73632,0.00177281,0.00177281,0.00177281
24,2956.1,2.0348,2.24551,1.57323,0.53477,0.10989,0.12283,0.0399,1.26359,3.77307,0.84645,0.00175261,0.00175261,0.00175261
25,3067.07,2.04948,2.27593,1.59299,0.16273,0.25275,0.15246,0.05542,1.24916,3.97637,0.78084,0.00173168,0.00173168,0.00173168
26,3179.05,2.0138,2.1525,1.566,0.3524,0.2967,0.21823,0.08038,1.20081,2.49372,0.76491,0.00171004,0.00171004,0.00171004
27,3289.76,2.05326,2.15898,1.61297,0.2652,0.24176,0.18834,0.07031,1.21454,2.43234,0.75421,0.0016877,0.0016877,0.0016877
28,3400.53,2.00256,2.12229,1.57183,0.27172,0.17582,0.16202,0.04959,1.17815,2.33145,0.77851,0.0016647,0.0016647,0.0016647
29,3510.53,1.96892,2.0225,1.54213,0.35588,0.24287,0.23127,0.07344,1.08035,2.81153,0.70793,0.00164105,0.00164105,0.00164105
30,3620.41,1.88402,1.98685,1.49882,0.38623,0.24176,0.2119,0.06972,1.2244,2.22819,0.7858,0.00161678,0.00161678,0.00161678
31,3733.34,1.88833,1.89058,1.49594,0.29875,0.23077,0.21332,0.06131,1.1263,2.72937,0.73805,0.00159191,0.00159191,0.00159191
32,3845.78,1.81896,1.875,1.43385,0.25477,0.21978,0.16455,0.06273,1.20857,2.03379,0.79889,0.00156646,0.00156646,0.00156646
33,3958.46,1.80605,1.80801,1.4469,0.51551,0.26374,0.27178,0.09352,1.13127,2.39275,0.71852,0.00154047,0.00154047,0.00154047
34,4070.45,1.77997,1.71506,1.43281,0.27726,0.31868,0.2052,0.06563,1.18948,3.10393,0.76247,0.00151395,0.00151395,0.00151395
35,4181.78,1.75364,1.71723,1.3979,0.43031,0.27473,0.23162,0.07554,1.14156,2.61686,0.74062,0.00148694,0.00148694,0.00148694
36,4294.69,1.69528,1.70322,1.36182,0.42229,0.28571,0.25977,0.08733,1.11898,3.14968,0.72,0.00145945,0.00145945,0.00145945
37,4406.51,1.72821,1.63109,1.39779,0.37712,0.25275,0.25913,0.09918,1.19565,3.3678,0.75526,0.00143152,0.00143152,0.00143152
38,4517.5,1.72711,1.60266,1.38714,0.43218,0.28571,0.26563,0.09691,1.14575,3.10865,0.74372,0.00140318,0.00140318,0.00140318
39,4628.09,1.62589,1.53768,1.34521,0.34295,0.35165,0.28457,0.10318,1.12432,2.59847,0.73694,0.00137444,0.00137444,0.00137444
40,4739.54,1.64737,1.44078,1.34196,0.44191,0.34066,0.27019,0.10721,1.12815,3.13479,0.74152,0.00134535,0.00134535,0.00134535
41,4850.19,1.58656,1.40185,1.31308,0.55994,0.32967,0.31046,0.11408,1.13755,2.68115,0.73786,0.00131593,0.00131593,0.00131593
42,4964.46,1.56862,1.37773,1.31474,0.39782,0.31868,0.2243,0.07788,1.14711,3.55318,0.76521,0.0012862,0.0012862,0.0012862
43,5077.87,1.49865,1.27454,1.25537,0.4921,0.35165,0.29376,0.11375,1.19577,1.83367,0.76917,0.0012562,0.0012562,0.0012562
44,5189.93,1.51192,1.29146,1.26205,0.58848,0.27473,0.27202,0.10742,1.11552,2.94568,0.73861,0.00122596,0.00122596,0.00122596
45,5305.94,1.51492,1.31363,1.26324,0.42804,0.25275,0.22661,0.08661,1.20016,2.03205,0.77097,0.00119551,0.00119551,0.00119551
46,5421.1,1.49284,1.22393,1.27287,0.38267,0.34743,0.27876,0.11179,1.08697,2.21347,0.72607,0.00116487,0.00116487,0.00116487
47,5533.86,1.38795,1.26029,1.19664,0.36784,0.27473,0.22776,0.08884,1.04841,1.80272,0.75202,0.00113408,0.00113408,0.00113408
48,5642.57,1.38059,1.19679,1.18289,0.55321,0.30769,0.30325,0.11916,1.09691,1.8802,0.77088,0.00110317,0.00110317,0.00110317
49,5752.71,1.39613,1.15808,1.19424,0.65044,0.30673,0.31035,0.13592,1.0399,1.78614,0.72737,0.00107216,0.00107216,0.00107216
50,5862.68,1.46577,1.1979,1.26094,0.47843,0.28571,0.27531,0.11198,1.00452,2.19841,0.68546,0.0010411,0.0010411,0.0010411
51,5975.1,1.42631,1.20836,1.23005,0.52046,0.35165,0.32019,0.12252,1.06722,2.33739,0.73205,0.00101,0.00101,0.00101
52,6085.88,1.38857,1.1096,1.17895,0.58503,0.31868,0.30734,0.12483,0.98166,1.97903,0.68518,0.000978903,0.000978903,0.000978903
53,6195.04,1.33179,1.05126,1.16287,0.51362,0.34066,0.29034,0.11772,1.12068,1.81771,0.75893,0.000947837,0.000947837,0.000947837
54,6311.55,1.33362,0.98576,1.19852,0.43256,0.36264,0.27843,0.12256,1.02092,2.32227,0.69949,0.000916833,0.000916833,0.000916833
55,6422.36,1.3209,0.97583,1.15995,0.46599,0.35165,0.3007,0.1234,1.08293,2.1249,0.74791,0.00088592,0.00088592,0.00088592
56,6533.78,1.30259,0.96704,1.16505,0.60877,0.2967,0.30128,0.12729,1.05967,1.62473,0.7302,0.00085513,0.00085513,0.00085513
57,6645.36,1.26152,0.94428,1.14622,0.61536,0.2967,0.31036,0.11959,1.03381,2.12069,0.72769,0.000824492,0.000824492,0.000824492
58,6757.25,1.24731,0.92753,1.12849,0.48388,0.35165,0.30167,0.1383,1.03848,2.24281,0.72671,0.000794038,0.000794038,0.000794038
59,6868.82,1.23026,0.93263,1.13016,0.44187,0.28571,0.27141,0.12044,1.1849,2.0094,0.79819,0.000763797,0.000763797,0.000763797
60,6980.51,1.20511,0.85411,1.12092,0.4217,0.40869,0.32736,0.12853,1.02704,1.67721,0.71489,0.000733799,0.000733799,0.000733799
61,7090.99,1.15623,0.83517,1.07317,0.47279,0.34066,0.30911,0.11974,1.00735,1.80168,0.72323,0.000704073,0.000704073,0.000704073
62,7201.1,1.1682,0.8101,1.085,0.46349,0.36264,0.3139,0.12724,1.09897,1.87484,0.77402,0.000674649,0.000674649,0.000674649
63,7309.89,1.11801,0.78916,1.0571,0.55421,0.34155,0.33688,0.13745,1.11689,2.22276,0.7686,0.000645557,0.000645557,0.000645557
64,7420.3,1.16289,0.82213,1.09116,0.70286,0.28571,0.30023,0.11772,1.13324,1.97052,0.78933,0.000616824,0.000616824,0.000616824
65,7528.53,1.13938,0.81299,1.06733,0.46909,0.3956,0.32423,0.12979,1.07115,1.92977,0.75714,0.000588479,0.000588479,0.000588479
66,7637.83,1.1097,0.76717,1.06924,0.57361,0.32967,0.3207,0.13162,1.11639,2.1347,0.79408,0.000560549,0.000560549,0.000560549
67,7746.38,1.15111,0.79407,1.06896,0.45433,0.36264,0.2988,0.12699,1.05266,1.75271,0.74726,0.000533064,0.000533064,0.000533064
68,7856.34,1.09779,0.75784,1.06287,0.48453,0.37363,0.30648,0.12824,1.07967,1.95286,0.79055,0.000506049,0.000506049,0.000506049
69,7965.58,1.10045,0.72957,1.06914,0.53814,0.37134,0.34286,0.13259,1.09923,1.72315,0.78192,0.000479531,0.000479531,0.000479531
70,8074.11,1.07724,0.74557,1.05074,0.49143,0.37363,0.30001,0.12014,1.12087,2.09375,0.80415,0.000453537,0.000453537,0.000453537
71,8183.07,1.04888,0.69115,1.03939,0.55286,0.36689,0.32768,0.12913,1.1154,1.86815,0.77305,0.000428093,0.000428093,0.000428093
72,8292.17,1.01059,0.69829,1.03475,0.57993,0.35165,0.35622,0.13542,1.08622,1.73108,0.79016,0.000403222,0.000403222,0.000403222
73,8401.28,1.04409,0.70179,1.03024,0.54833,0.3469,0.32793,0.13349,1.0135,1.78406,0.76455,0.00037895,0.00037895,0.00037895
74,8510.72,0.99845,0.67596,1.00027,0.59062,0.31868,0.32117,0.13165,1.06617,1.83822,0.78442,0.000355301,0.000355301,0.000355301
75,8619.81,0.97426,0.65183,1.0103,0.57376,0.32548,0.32674,0.13594,1.04853,1.79261,0.76105,0.000332298,0.000332298,0.000332298
76,8727.65,0.93267,0.62882,0.9818,0.52147,0.38462,0.33804,0.13952,1.05076,1.79784,0.776,0.000309964,0.000309964,0.000309964
77,8836.75,0.97477,0.63929,0.98731,0.50722,0.38462,0.34242,0.13745,1.10642,1.68847,0.80739,0.000288321,0.000288321,0.000288321
78,8945.67,0.93905,0.61765,0.9721,0.47725,0.37122,0.33788,0.14299,1.08737,1.90337,0.79357,0.00026739,0.00026739,0.00026739
79,9053.72,0.9346,0.62537,0.97137,0.64766,0.31868,0.33427,0.14086,1.10349,1.78264,0.80825,0.000247192,0.000247192,0.000247192
