epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.616,1.1924,1.74568,0.88576,1.04121,0.76469,0.40659,0.4779,0.20056,0.57716,0.45,0.42384,0.16543,1.03655,1.69134,2.52966,0.6914,0.00205594,0.00198601,0.00198601
2,229.489,1.18914,1.74743,0.89995,1.03523,0.54808,0.47253,0.4572,0.19355,0.5213,0.45055,0.41848,0.14614,1.04631,1.74443,2.31537,0.70594,0.00199707,0.00199707,0.00199707
3,336.268,1.22062,1.77819,0.83157,1.04113,0.6563,0.45055,0.42888,0.19997,0.69035,0.40659,0.3971,0.13861,1.0101,1.71032,2.78652,0.69964,0.0019883,0.0019883,0.0019883
4,439.82,1.20496,1.77865,0.82649,1.03211,0.61349,0.46154,0.43277,0.20048,0.63753,0.38462,0.39408,0.1607,1.029,1.64113,2.16996,0.70041,0.00197375,0.00197375,0.00197375
5,540.62,1.21139,1.78115,0.80855,1.03627,0.68298,0.42857,0.44169,0.20545,0.70475,0.37363,0.38513,0.15178,0.96507,1.85521,2.30396,0.64187,0.0019535,0.0019535,0.0019535
6,645.338,1.22647,1.76281,0.87685,1.0318,0.60926,0.43956,0.43266,0.18989,0.60926,0.43956,0.41194,0.14667,0.98657,1.6974,2.28922,0.66239,0.00192769,0.00192769,0.00192769
7,746.646,1.17654,1.70392,0.75954,1.02571,0.60055,0.46262,0.42077,0.16668,0.62004,0.43956,0.41627,0.12807,1.06114,1.71616,2.04773,0.68517,0.00189646,0.00189646,0.00189646
8,847.277,1.16021,1.73344,0.77045,1.02006,0.70047,0.45055,0.45065,0.18263,0.6612,0.42857,0.39626,0.13987,0.97318,1.70959,2.7789,0.64686,0.00186001,0.00186001,0.00186001
9,947.766,1.13581,1.69053,0.7763,0.99746,0.60995,0.43956,0.41344,0.18413,0.59304,0.42857,0.40135,0.14937,1.00804,1.79421,2.39949,0.69508,0.00181857,0.00181857,0.00181857
10,1050.74,1.13832,1.66726,0.77648,1.01344,0.55501,0.47253,0.41774,0.1749,0.51629,0.43956,0.38963,0.1497,0.97725,1.72143,3.41799,0.68851,0.00177239,0.00177239,0.00177239
