epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.1339,2.87005,4.30948,5.73485,2.21729,0.13978,0.07692,0.0363,0.00772,0.09663,0.08791,0.03082,0.00494,2.9431,3.82596,3.782,2.20664,0.0704167,0.00328704,0.00328704
2,156.916,2.57847,3.84449,3.15512,1.82655,0.01113,0.62637,0.08932,0.02816,0.00801,0.45055,0.06306,0.017,2.62684,3.9638,3.59663,2.00385,0.0403347,0.00653844,0.00653844
3,235.583,2.39369,3.77714,2.95742,1.74575,0.23719,0.06593,0.05771,0.01769,0.15813,0.04396,0.03625,0.01284,2.7015,3.89399,3.43329,1.73573,0.0101703,0.00970735,0.00970735
4,323.63,2.3775,3.68472,2.95157,1.71424,0.21872,0.10989,0.07179,0.02171,0.17679,0.08791,0.06018,0.0146,2.74289,3.90925,3.07033,1.95624,0.00962875,0.00962875,0.00962875
5,404.119,2.38774,3.7296,2.6788,1.70859,0.17466,0.16484,0.11782,0.03913,0.18908,0.17582,0.12248,0.03519,2.47866,4.64388,4.04314,1.72816,0.009505,0.009505,0.009505
6,482.719,2.36114,3.64019,2.62325,1.71633,0.33444,0.18681,0.14068,0.05003,0.20136,0.18681,0.11804,0.0332,2.45092,3.86926,3.24972,1.78496,0.00938125,0.00938125,0.00938125
7,566.175,2.33529,3.60348,2.3848,1.68738,0.33037,0.1978,0.15473,0.04468,0.32942,0.18681,0.14384,0.03816,2.53521,3.68561,4.14719,1.79872,0.0092575,0.0092575,0.0092575
8,653.975,2.27341,3.51336,2.32539,1.668,0.43838,0.28309,0.25723,0.10264,0.44983,0.28754,0.25225,0.08321,2.26708,3.5322,2.32511,1.66804,0.00913375,0.00913375,0.00913375
9,733.519,2.31576,3.48467,2.25466,1.69354,0.44919,0.36264,0.31376,0.11238,0.42944,0.28571,0.27687,0.08281,2.30132,3.53795,2.25383,1.69921,0.00901,0.00901,0.00901
10,816.564,2.26212,3.45045,2.16831,1.65749,0.31736,0.30769,0.20714,0.07209,0.32997,0.31868,0.20065,0.05713,2.53053,3.89614,2.61519,1.82804,0.00888625,0.00888625,0.00888625
11,891.684,2.17097,3.39956,2.0727,1.60559,0.50689,0.38407,0.36514,0.12419,0.47788,0.36209,0.33035,0.09518,2.38965,3.37033,2.07461,1.67584,0.0087625,0.0087625,0.0087625
12,967.906,2.22213,3.42305,2.0302,1.64446,0.54055,0.30769,0.3417,0.11197,0.44381,0.27473,0.30162,0.09926,2.31418,3.67162,2.19183,1.7363,0.00863875,0.00863875,0.00863875
13,1043.31,2.19944,3.35444,2.02578,1.59291,0.39683,0.2967,0.26094,0.0935,0.36168,0.2967,0.25812,0.08271,2.4073,3.89807,2.35331,1.76755,0.008515,0.008515,0.008515
14,1110.22,2.1518,3.25165,1.97456,1.60512,0.44013,0.31868,0.27906,0.09573,0.41978,0.2967,0.26701,0.07396,2.37284,3.74472,2.27952,1.70984,0.00839125,0.00839125,0.00839125
15,1180.33,2.10897,3.18372,1.91312,1.58024,0.49815,0.38181,0.36184,0.14366,0.45485,0.34066,0.31263,0.08896,2.27748,3.65323,2.12019,1.60839,0.0082675,0.0082675,0.0082675
16,1245.49,2.14697,3.28128,1.88977,1.55947,0.54774,0.37363,0.42366,0.14282,0.48709,0.32967,0.34852,0.1177,2.32856,3.41131,2.04726,1.66549,0.00814375,0.00814375,0.00814375
17,1325.6,2.10473,3.17936,1.8639,1.5901,0.48559,0.28571,0.30594,0.11989,0.54358,0.28797,0.29906,0.0826,2.23352,3.54352,2.16913,1.564,0.00802,0.00802,0.00802
18,1393.04,2.07985,3.1553,1.80791,1.56788,0.41979,0.43956,0.32185,0.12474,0.37064,0.3956,0.30155,0.09635,2.1086,3.33502,2.06558,1.53228,0.00789625,0.00789625,0.00789625
19,1454.61,2.041,3.05654,1.76113,1.50855,0.47178,0.46154,0.36408,0.14012,0.46148,0.43956,0.34532,0.11423,2.14844,3.27115,2.07422,1.63208,0.0077725,0.0077725,0.0077725
20,1516.53,2.02583,3.09668,1.68959,1.52531,0.4643,0.42857,0.37041,0.13426,0.43196,0.3956,0.33657,0.10597,2.18463,3.30694,2.10052,1.58929,0.00764875,0.00764875,0.00764875
21,1576.32,1.99982,3.01149,1.69707,1.51204,0.48017,0.36264,0.36236,0.13937,0.43652,0.32967,0.2985,0.0915,2.24584,3.51478,2.0574,1.63966,0.007525,0.007525,0.007525
