epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.796,1.00691,1.49674,0.60683,0.96131,0.74335,0.41758,0.48993,0.2311,0.72379,0.40659,0.47445,0.17183,0.99484,1.80679,2.07755,0.67926,0.0005,0.0005,0.0005
2,193.154,0.98784,1.49098,0.59166,0.95538,0.71252,0.51648,0.49803,0.22349,0.66829,0.48352,0.46797,0.184,1.04064,1.88055,2.05642,0.68635,0.00049723,0.00049723,0.00049723
3,279.579,0.94149,1.48206,0.5879,0.94157,0.63133,0.45055,0.47883,0.21842,0.589,0.42857,0.45093,0.17128,0.98291,1.84785,2.08067,0.67234,0.000488988,0.000488988,0.000488988
4,364.801,0.92158,1.45149,0.5561,0.93619,0.68554,0.43125,0.46554,0.21247,0.66821,0.42054,0.44538,0.16885,0.98957,1.82865,2.38656,0.67729,0.000475476,0.000475476,0.000475476
5,450.4,0.9271,1.45437,0.55051,0.93399,0.72407,0.41758,0.45583,0.20661,0.61583,0.42857,0.42857,0.17339,0.98994,1.87256,2.17631,0.67083,0.000457029,0.000457029,0.000457029
6,533.988,0.90654,1.43303,0.54793,0.92179,0.70827,0.40659,0.44402,0.19756,0.57028,0.46154,0.41425,0.15506,0.99012,1.90122,2.21418,0.68216,0.000434099,0.000434099,0.000434099
7,618.077,0.89253,1.37582,0.53874,0.91023,0.65237,0.45055,0.42607,0.18304,0.61941,0.42857,0.38413,0.14017,1.00298,1.92665,2.23853,0.69011,0.000407252,0.000407252,0.000407252
8,701.481,0.89747,1.38528,0.53837,0.92434,0.67791,0.48352,0.46903,0.19915,0.64667,0.46154,0.42791,0.15924,1.01757,1.95646,2.22403,0.68892,0.000377148,0.000377148,0.000377148
9,785.566,0.89094,1.3717,0.53113,0.92468,0.66458,0.47905,0.45968,0.19863,0.6345,0.45788,0.41311,0.15583,1.01791,1.98466,2.34936,0.68845,0.000344529,0.000344529,0.000344529
10,868.365,0.8492,1.36294,0.52496,0.91201,0.67704,0.49451,0.46617,0.19413,0.61686,0.45055,0.39983,0.15956,1.01826,1.9586,2.18917,0.69424,0.000310198,0.000310198,0.000310198
11,950.166,0.85946,1.37359,0.52001,0.90965,0.63872,0.48352,0.45695,0.19521,0.60861,0.46154,0.40617,0.15399,1.02611,1.97775,2.10918,0.69459,0.000275,0.000275,0.000275
12,1032.49,0.87333,1.36632,0.51594,0.91134,0.64622,0.46154,0.44748,0.20524,0.63066,0.43956,0.40752,0.15666,1.00687,1.96932,2.08061,0.68369,0.000239802,0.000239802,0.000239802
13,1115.46,0.86229,1.34164,0.52135,0.90362,0.66278,0.48352,0.4613,0.20215,0.63249,0.46154,0.41453,0.15651,1.02345,2.01864,2.18703,0.68782,0.000205471,0.000205471,0.000205471
14,1198.48,0.84288,1.33382,0.50865,0.89528,0.6721,0.47253,0.45859,0.19729,0.62488,0.43956,0.40077,0.14996,1.0294,2.02416,2.25909,0.69465,0.000172852,0.000172852,0.000172852
15,1280.47,0.84894,1.34276,0.50628,0.90241,0.64501,0.47253,0.45677,0.19758,0.59982,0.43956,0.39894,0.15313,1.02044,2.03861,2.31828,0.69588,0.000142748,0.000142748,0.000142748
16,1362.95,0.83887,1.31375,0.51511,0.892,0.6491,0.47253,0.45887,0.19663,0.60382,0.43956,0.39808,0.15349,1.03142,2.06069,2.32182,0.70085,0.000115901,0.000115901,0.000115901
17,1444.27,0.81103,1.30666,0.5042,0.89917,0.63905,0.47253,0.46754,0.20386,0.60901,0.45055,0.42257,0.16318,1.03415,2.07852,2.35832,0.70607,9.29712e-05,9.29712e-05,9.29712e-05
18,1525.94,0.82622,1.3248,0.51391,0.89619,0.63607,0.47253,0.45858,0.20377,0.5917,0.43956,0.40275,0.16076,1.03169,2.07244,2.35241,0.70452,7.45235e-05,7.45235e-05,7.45235e-05
19,1607.84,0.83268,1.30844,0.50914,0.90519,0.64685,0.47253,0.45907,0.2025,0.60114,0.43956,0.40346,0.15989,1.03178,2.08245,2.34147,0.70401,6.10123e-05,6.10123e-05,6.10123e-05
20,1689.26,0.84251,1.30713,0.50913,0.89724,0.63794,0.47253,0.457,0.20096,0.60827,0.45055,0.40898,0.158,1.03685,2.08104,2.41389,0.70696,5.27701e-05,5.27701e-05,5.27701e-05
